game_year,game_date,game_type,home_team,away_team,pitcher,pitch_type,pitch_name,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y
2022,2022-05-08,R,SD,MIA,605397,CU,Curveball,107.3,31.0,413.0,86.74,36.36
2022,2022-04-23,R,ATL,MIA,666120,FF,4-Seam Fastball,108.4,26.0,425.0,176.68,34.31
2022,2022-04-21,R,MIA,STL,605156,SL,Slider,102.1,35.0,386.0,186.89,58.84
2022,2022-04-12,R,LAA,MIA,594577,SL,Slider,102.7,45.0,353.0,229.5,82.35
2022,2022-04-08,R,SF,MIA,666808,SL,Slider,103.4,31.0,386.0,49.03,62.6
2022,2022-03-31,S,MIA,STL,572403,SI,Sinker,107.2,35.0,,200.37,52.7
2022,2022-03-18,S,WSH,MIA,605218,,,,,,124.72,28.47
2021,2021-10-02,R,MIA,PHI,668968,CH,Changeup,107.8,22.0,393.0,222.38,71.79
2021,2021-09-20,R,MIA,WSH,607200,CU,Curveball,107.0,32.0,427.0,151.36,28.03
2021,2021-09-20,R,MIA,WSH,607200,FC,Cutter,110.4,37.0,415.0,226.92,63.75
2021,2021-09-09,R,MIA,NYM,544727,SI,Sinker,110.3,40.0,402.0,220.07,65.42
2021,2021-08-20,R,CIN,MIA,608371,FF,4-Seam Fastball,112.1,24.0,405.0,214.6,63.34
2021,2021-08-16,R,MIA,ATL,657053,SI,Sinker,108.6,28.0,443.0,172.3,25.17
2021,2021-08-15,R,MIA,CHC,621219,SI,Sinker,111.3,28.0,435.0,190.84,34.64
2021,2021-07-10,R,MIA,ATL,608331,SL,Slider,96.1,23.0,337.0,213.33,94.34
2021,2021-07-08,R,MIA,LAD,628711,FF,4-Seam Fastball,110.1,29.0,446.0,186.03,28.01
2021,2021-06-24,R,MIA,WSH,502522,FF,4-Seam Fastball,106.7,24.0,414.0,173.87,38.13
2021,2021-06-10,R,MIA,COL,592346,SL,Slider,108.8,27.0,431.0,198.44,39.69
2021,2021-06-05,R,PIT,MIA,608328,FF,4-Seam Fastball,101.8,44.0,371.0,203.94,70.45
2021,2021-06-02,R,TOR,MIA,666201,CH,Changeup,101.6,24.0,382.0,61.82,63.22
2021,2021-05-18,R,PHI,MIA,621237,SI,Sinker,95.3,29.0,378.0,190.65,60.49
2021,2021-04-23,R,SF,MIA,622072,SI,Sinker,110.5,35.0,427.0,205.47,44.62
2021,2021-04-16,R,MIA,SF,543101,SL,Slider,103.1,22.0,381.0,200.7,67.69
2021,2021-04-14,R,ATL,MIA,450203,FC,Cutter,108.3,34.0,413.0,134.03,32.24
2021,2021-04-10,R,NYM,MIA,594798,FF,4-Seam Fastball,107.4,31.0,402.0,229.85,72.57
2021,2021-03-21,S,MIA,HOU,660600,FF,4-Seam Fastball,109.8,28.0,415.0,,
2021,2021-03-17,S,MIA,NYM,607229,SI,Sinker,112.7,25.0,393.0,222.08,75.11
2021,2021-02-28,S,HOU,MIA,656232,,,,,,42.54,70.78
2020,2020-09-27,R,NYY,MIA,656793,FF,4-Seam Fastball,101.5,27.0,406.0,164.49,30.95
2020,2020-09-09,R,ATL,MIA,543548,FF,4-Seam Fastball,101.4,33.0,403.0,158.88,31.42
2020,2020-03-08,S,STL,MIA,650893,FF,4-Seam Fastball,112.5,29.0,395.0,184.41,41.88
